"option1","option2","option3","word1","word2","word3","word4","word5","word6"
"fiammifero, stuzzicadenti","gessetto, limone","crostino, bersaglio","fiammifero","stuzzicadenti","gessetto","limone","crostino","bersaglio"
"rana, sega","leone, eccentrico","crostino, damigiana","rana","sega","leone","eccentrico","crostino","damigiana"
"cavolo, bersaglio","stuzzicadenti, cavolo","equilibrio, autostrada","cavolo","bersaglio","stuzzicadenti","cavolo","equilibrio","autostrada"
"limone, pidocchio","braccialetto, eccentrico","agenda, cassettiera","limone","pidocchio","braccialetto","eccentrico","agenda","cassettiera"
"ciotola, eccentrico","diario, timone","﻿anello, verde","ciotola","eccentrico","diario","timone","﻿anello","verde"
"cucchiaio, lavagna","ciotola, gessetto","diario, menta","cucchiaio","lavagna","ciotola","gessetto","diario","menta"
"pomodoro, caramella","blu, lanterna","spinaci, panchina","pomodoro","caramella","blu","lanterna","spinaci","panchina"
"rana, agenda","forchetta, rosa","stuzzicadenti, soglia","rana","agenda","forchetta","rosa","stuzzicadenti","soglia"
"timone, giallo","cuscino, timone","stuzzicadenti, bidet","timone","giallo","cuscino","timone","stuzzicadenti","bidet"
"rosa, eccentrico","﻿anello, appuntamento","fiammifero, satellite","rosa","eccentrico","﻿anello","appuntamento","fiammifero","satellite"
"forchetta, cipolla","diario, sega","spremiagrumi, posacenere","forchetta","cipolla","diario","sega","spremiagrumi","posacenere"
"ciotola, equilibrio","coperta, leone","cipolla, documento","ciotola","equilibrio","coperta","leone","cipolla","documento"
"braccialetto, fiammifero","rana, eccentrico","libreria, cassettiera","braccialetto","fiammifero","rana","eccentrico","libreria","cassettiera"
"lavagna, penna","cipolla, eccentrico","ciliegio, autorità","lavagna","penna","cipolla","eccentrico","ciliegio","autorità"
"﻿anello, fiammifero","forchetta, crostino","pidocchio, satellite","﻿anello","fiammifero","forchetta","crostino","pidocchio","satellite"
"panchina, bidet","gessetto, bidet","﻿anello, menta","panchina","bidet","gessetto","bidet","﻿anello","menta"
"cipolla, caramella","lavagna, eccentrico","cucchiaio, mappa","cipolla","caramella","lavagna","eccentrico","cucchiaio","mappa"
"candela, equilibrio","rosa, leone","﻿anello, coperta","candela","equilibrio","rosa","leone","﻿anello","coperta"
"ciotola, giallo","stuzzicadenti, appuntamento","ciotola, timone","ciotola","giallo","stuzzicadenti","appuntamento","ciotola","timone"
"cucchiaio, cuscino","limone, ciliegio","ciotola, piatto","cucchiaio","cuscino","limone","ciliegio","ciotola","piatto"
"lanterna, caramella","cavolo, bidet","penna, coccodrillo","lanterna","caramella","cavolo","bidet","penna","coccodrillo"
"forchetta, blu","﻿anello, cavolo","﻿anello, penna","forchetta","blu","﻿anello","cavolo","﻿anello","penna"
"ciotola, blu","stuzzicadenti, mappa","gessetto, giallo","ciotola","blu","stuzzicadenti","mappa","gessetto","giallo"
"viola, mappa","lavagna, panchina","gessetto, mais","viola","mappa","lavagna","panchina","gessetto","mais"
"caramella, bersaglio","blu, menta","posacenere, sega","caramella","bersaglio","blu","menta","posacenere","sega"
"coperta, spremiagrumi","﻿anello, giallo","equilibrio, autorità","coperta","spremiagrumi","﻿anello","giallo","equilibrio","autorità"
"﻿anello, forchetta","forchetta, documento","gessetto, pidocchio","﻿anello","forchetta","forchetta","documento","gessetto","pidocchio"
"viola, succo","sole, cipolla","candela, mais","viola","succo","sole","cipolla","candela","mais"
"braccialetto, cassettiera","braccialetto, cuscino","lattuga, equilibrio","braccialetto","cassettiera","braccialetto","cuscino","lattuga","equilibrio"
"forchetta, sega","rana, ciliegio","coccodrillo, pidocchio","forchetta","sega","rana","ciliegio","coccodrillo","pidocchio"
"menta, mais","spinaci, autostrada","stuzzicadenti, limone","menta","mais","spinaci","autostrada","stuzzicadenti","limone"
"giallo, succo","portafoglio, mappa","sole, sega","giallo","succo","portafoglio","mappa","sole","sega"
"giallo, autorità","lavagna, pomodoro","menta, leone","giallo","autorità","lavagna","pomodoro","menta","leone"
"equilatero, equilibrio","coperta, diario","coperta, succo","equilatero","equilibrio","coperta","diario","coperta","succo"
"libreria, autorità","coccodrillo, satellite","fiammifero, equilatero","libreria","autorità","coccodrillo","satellite","fiammifero","equilatero"
"panchina, ciliegio","menta, satellite","stuzzicadenti, damigiana","panchina","ciliegio","menta","satellite","stuzzicadenti","damigiana"
"lavagna, portafoglio","autostrada, soglia","piatto, giallo","lavagna","portafoglio","autostrada","soglia","piatto","giallo"
"timone, rana","forchetta, lattuga","cuscino, damigiana","timone","rana","forchetta","lattuga","cuscino","damigiana"
"coccodrillo, documento","menta, damigiana","ciliegio, satellite","coccodrillo","documento","menta","damigiana","ciliegio","satellite"
"viola, equilibrio","forchetta, panchina","spremiagrumi, panchina","viola","equilibrio","forchetta","panchina","spremiagrumi","panchina"
"verde, coccodrillo","forchetta, limone","﻿anello, caramella","verde","coccodrillo","forchetta","limone","﻿anello","caramella"
"piatto, sega","lattuga, coccodrillo","coperta, damigiana","piatto","sega","lattuga","coccodrillo","coperta","damigiana"
"ciotola, mais","lattuga, caramella","leone, equilibrio","ciotola","mais","lattuga","caramella","leone","equilibrio"
"viola, documento","forchetta, caramella","eccentrico, mappa","viola","documento","forchetta","caramella","eccentrico","mappa"
"cuscino, diario","lavagna, lattuga","candela, timone","cuscino","diario","lavagna","lattuga","candela","timone"
"forchetta, succo","piatto, lattuga","diario, equilatero","forchetta","succo","piatto","lattuga","diario","equilatero"
"penna, cipolla","penna, cassettiera","piatto, menta","penna","cipolla","penna","cassettiera","piatto","menta"
"posacenere, panchina","limone, panchina","spinaci, satellite","posacenere","panchina","limone","panchina","spinaci","satellite"
"portafoglio, sole","giallo, agenda","penna, equilibrio","portafoglio","sole","giallo","agenda","penna","equilibrio"
"giallo, lattuga","gessetto, cassettiera","verde, lattuga","giallo","lattuga","gessetto","cassettiera","verde","lattuga"
"satellite, appuntamento","giallo, blu","cavolo, appuntamento","satellite","appuntamento","giallo","blu","cavolo","appuntamento"
"mais, rana","braccialetto, ciotola","pomodoro, cassettiera","mais","rana","braccialetto","ciotola","pomodoro","cassettiera"
"eccentrico, cassettiera","viola, rana","ciotola, diario","eccentrico","cassettiera","viola","rana","ciotola","diario"
"braccialetto, blu","damigiana, documento","braccialetto, lanterna","braccialetto","blu","damigiana","documento","braccialetto","lanterna"
"fiammifero, succo","menta, lattuga","gessetto, equilatero","fiammifero","succo","menta","lattuga","gessetto","equilatero"
"sole, lattuga","timone, caramella","mappa, appuntamento","sole","lattuga","timone","caramella","mappa","appuntamento"
"timone, equilibrio","lattuga, posacenere","piatto, mais","timone","equilibrio","lattuga","posacenere","piatto","mais"
"stuzzicadenti, ciliegio","menta, libreria","lavagna, soglia","stuzzicadenti","ciliegio","menta","libreria","lavagna","soglia"
"lavagna, mais","ciotola, soglia","cavolo, rana","lavagna","mais","ciotola","soglia","cavolo","rana"
"pomodoro, agenda","candela, panchina","piatto, damigiana","pomodoro","agenda","candela","panchina","piatto","damigiana"
"stuzzicadenti, panchina","menta, bersaglio","ciotola, spremiagrumi","stuzzicadenti","panchina","menta","bersaglio","ciotola","spremiagrumi"
"giallo, viola","braccialetto, pomodoro","pidocchio, documento","giallo","viola","braccialetto","pomodoro","pidocchio","documento"
"lanterna, ciliegio","ciotola, succo","panchina, damigiana","lanterna","ciliegio","ciotola","succo","panchina","damigiana"
"libreria, autostrada","fiammifero, verde","documento, autorità","libreria","autostrada","fiammifero","verde","documento","autorità"
"libreria, equilibrio","pidocchio, autostrada","sega, cassettiera","libreria","equilibrio","pidocchio","autostrada","sega","cassettiera"
"stuzzicadenti, sega","braccialetto, autorità","viola, pidocchio","stuzzicadenti","sega","braccialetto","autorità","viola","pidocchio"
"cuscino, menta","piatto, spinaci","spremiagrumi, autostrada","cuscino","menta","piatto","spinaci","spremiagrumi","autostrada"
"coperta, cucchiaio","﻿anello, autorità","﻿anello, lanterna","coperta","cucchiaio","﻿anello","autorità","﻿anello","lanterna"
"rana, leone","piatto, satellite","cipolla, pidocchio","rana","leone","piatto","satellite","cipolla","pidocchio"
"posacenere, cassettiera","caramella, soglia","diario, soglia","posacenere","cassettiera","caramella","soglia","diario","soglia"
"posacenere, equilatero","cucchiaio, leone","pomodoro, cipolla","posacenere","equilatero","cucchiaio","leone","pomodoro","cipolla"
"posacenere, documento","rosa, limone","spinaci, crostino","posacenere","documento","rosa","limone","spinaci","crostino"
"portafoglio, lattuga","fiammifero, pidocchio","caramella, agenda","portafoglio","lattuga","fiammifero","pidocchio","caramella","agenda"
"timone, bidet","candela, pomodoro","gessetto, leone","timone","bidet","candela","pomodoro","gessetto","leone"
"portafoglio, posacenere","candela, forchetta","spinaci, autorità","portafoglio","posacenere","candela","forchetta","spinaci","autorità"
"crostino, caramella","ciotola, viola","cipolla, autorità","crostino","caramella","ciotola","viola","cipolla","autorità"
"rosa, mappa","menta, equilibrio","pomodoro, equilatero","rosa","mappa","menta","equilibrio","pomodoro","equilatero"
"blu, mais","rosa, ciliegio","giallo, rosa","blu","mais","rosa","ciliegio","giallo","rosa"
"gessetto, autostrada","portafoglio, sega","menta, lanterna","gessetto","autostrada","portafoglio","sega","menta","lanterna"
"ciotola, forchetta","spinaci, bersaglio","coperta, giallo","ciotola","forchetta","spinaci","bersaglio","coperta","giallo"
"diario, damigiana","viola, satellite","ciliegio, libreria","diario","damigiana","viola","satellite","ciliegio","libreria"
"portafoglio, appuntamento","bidet, caramella","equilibrio, cassettiera","portafoglio","appuntamento","bidet","caramella","equilibrio","cassettiera"
"sega, autostrada","menta, autorità","cucchiaio, posacenere","sega","autostrada","menta","autorità","cucchiaio","posacenere"
"gessetto, documento","braccialetto, viola","coperta, rana","gessetto","documento","braccialetto","viola","coperta","rana"
"cipolla, cassettiera","ciliegio, autostrada","verde, mappa","cipolla","cassettiera","ciliegio","autostrada","verde","mappa"
"mais, appuntamento","lavagna, appuntamento","timone, cassettiera","mais","appuntamento","lavagna","appuntamento","timone","cassettiera"
"timone, eccentrico","timone, panchina","succo, equilibrio","timone","eccentrico","timone","panchina","succo","equilibrio"
"forchetta, pomodoro","ciotola, verde","﻿anello, cassettiera","forchetta","pomodoro","ciotola","verde","﻿anello","cassettiera"
"mappa, bersaglio","spremiagrumi, libreria","posacenere, lanterna","mappa","bersaglio","spremiagrumi","libreria","posacenere","lanterna"
"rosa, pidocchio","sole, bidet","timone, sole","rosa","pidocchio","sole","bidet","timone","sole"
"panchina, autorità","sole, autostrada","diario, spinaci","panchina","autorità","sole","autostrada","diario","spinaci"
"viola, soglia","cuscino, bidet","limone, sole","viola","soglia","cuscino","bidet","limone","sole"
"cavolo, pidocchio","cavolo, autostrada","braccialetto, candela","cavolo","pidocchio","cavolo","autostrada","braccialetto","candela"
"sole, mappa","penna, blu","candela, viola","sole","mappa","penna","blu","candela","viola"
"caramella, autorità","limone, spremiagrumi","rosa, succo","caramella","autorità","limone","spremiagrumi","rosa","succo"
"menta, documento","cucchiaio, equilatero","equilatero, caramella","menta","documento","cucchiaio","equilatero","equilatero","caramella"
"sega, bersaglio","braccialetto, lattuga","candela, sole","sega","bersaglio","braccialetto","lattuga","candela","sole"
"piatto, limone","verde, giallo","piatto, agenda","piatto","limone","verde","giallo","piatto","agenda"
"lavagna, crostino","sega, agenda","spremiagrumi, bersaglio","lavagna","crostino","sega","agenda","spremiagrumi","bersaglio"
"cuscino, gessetto","verde, agenda","stuzzicadenti, equilibrio","cuscino","gessetto","verde","agenda","stuzzicadenti","equilibrio"
"piatto, appuntamento","fiammifero, coccodrillo","fiammifero, timone","piatto","appuntamento","fiammifero","coccodrillo","fiammifero","timone"
"cucchiaio, agenda","candela, leone","spinaci, equilatero","cucchiaio","agenda","candela","leone","spinaci","equilatero"
"fiammifero, caramella","portafoglio, spinaci","coperta, equilatero","fiammifero","caramella","portafoglio","spinaci","coperta","equilatero"
"candela, sega","portafoglio, bidet","stuzzicadenti, pomodoro","candela","sega","portafoglio","bidet","stuzzicadenti","pomodoro"
"gessetto, sole","mais, equilatero","verde, cavolo","gessetto","sole","mais","equilatero","verde","cavolo"
"candela, autostrada","viola, mais","cuscino, sega","candela","autostrada","viola","mais","cuscino","sega"
"piatto, autostrada","portafoglio, limone","penna, agenda","piatto","autostrada","portafoglio","limone","penna","agenda"
"giallo, ciliegio","braccialetto, portafoglio","gessetto, portafoglio","giallo","ciliegio","braccialetto","portafoglio","gessetto","portafoglio"
"﻿anello, stuzzicadenti","viola, caramella","autorità, cassettiera","﻿anello","stuzzicadenti","viola","caramella","autorità","cassettiera"
"fiammifero, equilibrio","braccialetto, spinaci","stuzzicadenti, viola","fiammifero","equilibrio","braccialetto","spinaci","stuzzicadenti","viola"
"rosa, spremiagrumi","spinaci, agenda","cucchiaio, fiammifero","rosa","spremiagrumi","spinaci","agenda","cucchiaio","fiammifero"
"cucchiaio, spremiagrumi","rana, coccodrillo","bersaglio, cassettiera","cucchiaio","spremiagrumi","rana","coccodrillo","bersaglio","cassettiera"
"giallo, pidocchio","rosa, panchina","lattuga, sega","giallo","pidocchio","rosa","panchina","lattuga","sega"
"coccodrillo, caramella","stuzzicadenti, spremiagrumi","posacenere, mappa","coccodrillo","caramella","stuzzicadenti","spremiagrumi","posacenere","mappa"
"posacenere, bersaglio","braccialetto, equilatero","sole, panchina","posacenere","bersaglio","braccialetto","equilatero","sole","panchina"
"gessetto, rosa","penna, piatto","coccodrillo, eccentrico","gessetto","rosa","penna","piatto","coccodrillo","eccentrico"
"diario, ciliegio","spinaci, lanterna","pomodoro, damigiana","diario","ciliegio","spinaci","lanterna","pomodoro","damigiana"
"blu, limone","posacenere, eccentrico","lavagna, pidocchio","blu","limone","posacenere","eccentrico","lavagna","pidocchio"
"coperta, cassettiera","spinaci, bidet","cuscino, rana","coperta","cassettiera","spinaci","bidet","cuscino","rana"
"cavolo, satellite","﻿anello, agenda","penna, mais","cavolo","satellite","﻿anello","agenda","penna","mais"
"verde, cipolla","cavolo, equilibrio","caramella, pidocchio","verde","cipolla","cavolo","equilibrio","caramella","pidocchio"
"blu, rosa","verde, appuntamento","forchetta, menta","blu","rosa","verde","appuntamento","forchetta","menta"
"mais, bidet","mappa, equilibrio","candela, diario","mais","bidet","mappa","equilibrio","candela","diario"
"ciotola, rosa","cuscino, forchetta","spremiagrumi, cipolla","ciotola","rosa","cuscino","forchetta","spremiagrumi","cipolla"
"blu, damigiana","﻿anello, piatto","candela, soglia","blu","damigiana","﻿anello","piatto","candela","soglia"
"candela, gessetto","piatto, stuzzicadenti","coccodrillo, leone","candela","gessetto","piatto","stuzzicadenti","coccodrillo","leone"
"pidocchio, damigiana","limone, lattuga","cuscino, posacenere","pidocchio","damigiana","limone","lattuga","cuscino","posacenere"
"stuzzicadenti, crostino","cucchiaio, pidocchio","coperta, ciliegio","stuzzicadenti","crostino","cucchiaio","pidocchio","coperta","ciliegio"
"candela, lavagna","cucchiaio, piatto","cuscino, portafoglio","candela","lavagna","cucchiaio","piatto","cuscino","portafoglio"
"sega, mappa","succo, sole","coccodrillo, cassettiera","sega","mappa","succo","sole","coccodrillo","cassettiera"
"verde, soglia","damigiana, equilibrio","verde, libreria","verde","soglia","damigiana","equilibrio","verde","libreria"
"cipolla, libreria","succo, spinaci","lavagna, autorità","cipolla","libreria","succo","spinaci","lavagna","autorità"
"verde, equilatero","verde, blu","lattuga, agenda","verde","equilatero","verde","blu","lattuga","agenda"
"penna, pomodoro","giallo, limone","sole, autorità","penna","pomodoro","giallo","limone","sole","autorità"
"gessetto, agenda","cuscino, equilibrio","ciotola, autostrada","gessetto","agenda","cuscino","equilibrio","ciotola","autostrada"
"succo, caramella","coperta, libreria","eccentrico, libreria","succo","caramella","coperta","libreria","eccentrico","libreria"
"diario, cavolo","lattuga, equilatero","lavagna, coccodrillo","diario","cavolo","lattuga","equilatero","lavagna","coccodrillo"
"coperta, mappa","lavagna, posacenere","sole, agenda","coperta","mappa","lavagna","posacenere","sole","agenda"
"spinaci, coccodrillo","coperta, panchina","gessetto, sega","spinaci","coccodrillo","coperta","panchina","gessetto","sega"
"timone, ciliegio","giallo, coccodrillo","coperta, limone","timone","ciliegio","giallo","coccodrillo","coperta","limone"
"﻿anello, libreria","rosa, libreria","coccodrillo, posacenere","﻿anello","libreria","rosa","libreria","coccodrillo","posacenere"
"mais, cassettiera","lanterna, damigiana","spremiagrumi, autorità","mais","cassettiera","lanterna","damigiana","spremiagrumi","autorità"
"verde, spremiagrumi","verde, caramella","cuscino, cavolo","verde","spremiagrumi","verde","caramella","cuscino","cavolo"
"timone, cipolla","ciotola, posacenere","giallo, sole","timone","cipolla","ciotola","posacenere","giallo","sole"
"mais, coccodrillo","candela, caramella","lavagna, piatto","mais","coccodrillo","candela","caramella","lavagna","piatto"
"lavagna, leone","penna, cavolo","fiammifero, ciliegio","lavagna","leone","penna","cavolo","fiammifero","ciliegio"
"braccialetto, stuzzicadenti","fiammifero, lavagna","portafoglio, satellite","braccialetto","stuzzicadenti","fiammifero","lavagna","portafoglio","satellite"
"caramella, cassettiera","candela, libreria","spinaci, equilibrio","caramella","cassettiera","candela","libreria","spinaci","equilibrio"
"viola, sole","viola, lattuga","sole, equilibrio","viola","sole","viola","lattuga","sole","equilibrio"
"viola, menta","leone, documento","penna, appuntamento","viola","menta","leone","documento","penna","appuntamento"
"menta, posacenere","﻿anello, braccialetto","lavagna, sega","menta","posacenere","﻿anello","braccialetto","lavagna","sega"
"bersaglio, appuntamento","rana, posacenere","stuzzicadenti, mais","bersaglio","appuntamento","rana","posacenere","stuzzicadenti","mais"
"forchetta, satellite","diario, mappa","blu, appuntamento","forchetta","satellite","diario","mappa","blu","appuntamento"
"eccentrico, panchina","﻿anello, gessetto","rosa, spinaci","eccentrico","panchina","﻿anello","gessetto","rosa","spinaci"
"spinaci, rana","lattuga, libreria","posacenere, appuntamento","spinaci","rana","lattuga","libreria","posacenere","appuntamento"
"piatto, viola","portafoglio, ciliegio","giallo, documento","piatto","viola","portafoglio","ciliegio","giallo","documento"
"mappa, documento","viola, lanterna","cucchiaio, bersaglio","mappa","documento","viola","lanterna","cucchiaio","bersaglio"
"equilibrio, documento","cuscino, penna","cuscino, crostino","equilibrio","documento","cuscino","penna","cuscino","crostino"
"fiammifero, pomodoro","diario, coccodrillo","succo, sega","fiammifero","pomodoro","diario","coccodrillo","succo","sega"
"viola, autostrada","blu, spinaci","spinaci, soglia","viola","autostrada","blu","spinaci","spinaci","soglia"
"mappa, autorità","panchina, pidocchio","﻿anello, lattuga","mappa","autorità","panchina","pidocchio","﻿anello","lattuga"
"braccialetto, mais","ciotola, coccodrillo","﻿anello, viola","braccialetto","mais","ciotola","coccodrillo","﻿anello","viola"
"lattuga, pomodoro","cucchiaio, spinaci","agenda, autorità","lattuga","pomodoro","cucchiaio","spinaci","agenda","autorità"
"lavagna, bidet","cuscino, sole","fiammifero, cipolla","lavagna","bidet","cuscino","sole","fiammifero","cipolla"
"ciotola, sole","candela, documento","coperta, appuntamento","ciotola","sole","candela","documento","coperta","appuntamento"
"gessetto, blu","ciotola, sega","cucchiaio, cipolla","gessetto","blu","ciotola","sega","cucchiaio","cipolla"
"candela, menta","diario, pidocchio","sega, documento","candela","menta","diario","pidocchio","sega","documento"
"timone, libreria","portafoglio, cassettiera","pidocchio, appuntamento","timone","libreria","portafoglio","cassettiera","pidocchio","appuntamento"
"limone, bersaglio","cucchiaio, sega","succo, rana","limone","bersaglio","cucchiaio","sega","succo","rana"
"verde, posacenere","braccialetto, documento","forchetta, cavolo","verde","posacenere","braccialetto","documento","forchetta","cavolo"
"cuscino, mais","cavolo, libreria","fiammifero, menta","cuscino","mais","cavolo","libreria","fiammifero","menta"
"cavolo, caramella","leone, mappa","﻿anello, mais","cavolo","caramella","leone","mappa","﻿anello","mais"
"menta, eccentrico","blu, rana","portafoglio, menta","menta","eccentrico","blu","rana","portafoglio","menta"
"piatto, succo","lavagna, cassettiera","piatto, lanterna","piatto","succo","lavagna","cassettiera","piatto","lanterna"
"piatto, bidet","piatto, pomodoro","giallo, soglia","piatto","bidet","piatto","pomodoro","giallo","soglia"
"diario, cipolla","piatto, caramella","menta, rana","diario","cipolla","piatto","caramella","menta","rana"
"rosa, agenda","candela, coccodrillo","diario, leone","rosa","agenda","candela","coccodrillo","diario","leone"
"stuzzicadenti, cipolla","bidet, cassettiera","ciotola, libreria","stuzzicadenti","cipolla","bidet","cassettiera","ciotola","libreria"
"ciotola, caramella","forchetta, soglia","braccialetto, crostino","ciotola","caramella","forchetta","soglia","braccialetto","crostino"
"rana, crostino","caramella, sega","verde, damigiana","rana","crostino","caramella","sega","verde","damigiana"
"portafoglio, leone","lanterna, autostrada","fiammifero, autorità","portafoglio","leone","lanterna","autostrada","fiammifero","autorità"
"spinaci, appuntamento","leone, panchina","spremiagrumi, cassettiera","spinaci","appuntamento","leone","panchina","spremiagrumi","cassettiera"
"stuzzicadenti, pidocchio","blu, cipolla","spremiagrumi, mappa","stuzzicadenti","pidocchio","blu","cipolla","spremiagrumi","mappa"
"blu, coccodrillo","cucchiaio, caramella","leone, autostrada","blu","coccodrillo","cucchiaio","caramella","leone","autostrada"
"candela, cuscino","posacenere, caramella","cavolo, spinaci","candela","cuscino","posacenere","caramella","cavolo","spinaci"
